algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
pfhcbes,res/networks/water,water.xbif50001_,4,5,5,108,-0.49753483614087746,-67350.43327083088,8.125,24.0,236.0,4,0
pges,res/networks/water,water.xbif50001_,4,5,5,97,-0.4803054407900646,-67188.18292552874,7.125,12.0,216.0,5,0
phc,res/networks/water,water.xbif50001_,4,5,5,108,-0.49753483614087746,-67350.43327083088,8.125,24.0,236.0,4,0
pfhcbes,res/networks/water,water.xbif50001_,4,5,7,102,-0.45862408048082154,-67296.52233616312,7.5,14.0,226.0,4,0
pges,res/networks/water,water.xbif50001_,4,5,7,101,-0.49896541019245844,-67190.15155163931,7.4375,10.0,228.0,5,0
phc,res/networks/water,water.xbif50001_,4,5,7,102,-0.45862408048082154,-67296.52233616312,7.5,14.0,226.0,4,0
pfhcbes,res/networks/water,water.xbif50001_,4,5,11,104,-0.4783224757032822,-67334.19898228913,7.8125,18.0,232.0,5,0
pges,res/networks/water,water.xbif50001_,4,5,11,98,-0.45888809113361995,-67221.23544555252,7.25,12.0,220.0,5,0
phc,res/networks/water,water.xbif50001_,4,5,11,103,-0.5017776416426921,-67321.3555417933,7.75,16.0,232.0,4,0
pfhcbes,res/networks/water,water.xbif50001_,4,5,13,100,-0.4749058276693283,-67193.80610296984,7.375,16.0,220.0,5,0
pges,res/networks/water,water.xbif50001_,4,5,13,95,-0.46972840469660704,-67162.87692378767,7.0,10.0,214.0,5,0
phc,res/networks/water,water.xbif50001_,4,5,13,100,-0.4749058276693283,-67193.80610296984,7.375,16.0,220.0,5,0
pfhcbes,res/networks/water,water.xbif50001_,4,5,17,98,-0.4264349397121627,-67134.93393597323,7.1875,8.0,222.0,4,0
pges,res/networks/water,water.xbif50001_,4,5,17,97,-0.4658476301896244,-67120.96394512107,7.1875,6.0,224.0,5,0
phc,res/networks/water,water.xbif50001_,4,5,17,98,-0.4264557146579489,-67135.23741057371,7.25,8.0,224.0,4,0
pfhcbes,res/networks/water,water.xbif50001_,4,5,19,102,-0.5103499368099857,-67132.63216616865,7.4375,12.0,226.0,6,0
pges,res/networks/water,water.xbif50001_,4,5,19,98,-0.5043991529992649,-67115.8474741176,7.1875,8.0,222.0,6,0
phc,res/networks/water,water.xbif50001_,4,5,19,103,-0.5119914123593425,-67221.08051037762,7.5625,16.0,226.0,5,0
pfhcbes,res/networks/water,water.xbif50001_,4,5,23,100,-0.48782588425167944,-67720.90711254053,7.5,20.0,220.0,5,0
pges,res/networks/water,water.xbif50001_,4,5,23,99,-0.46525378224171393,-67199.76334052994,7.3125,14.0,220.0,6,0
phc,res/networks/water,water.xbif50001_,4,5,23,99,-0.49355015088649934,-67730.78190035245,7.4375,18.0,220.0,5,0
pfhcbes,res/networks/water,water.xbif50001_,4,5,29,98,-0.4834360694219097,-67184.93926916302,7.25,10.0,222.0,5,0
pges,res/networks/water,water.xbif50001_,4,5,29,93,-0.4961592794025947,-67165.38799976159,6.875,8.0,212.0,5,0
phc,res/networks/water,water.xbif50001_,4,5,29,98,-0.4834360694219097,-67184.93926916302,7.25,10.0,222.0,5,0
pfhcbes,res/networks/water,water.xbif50001_,6,5,2,99,-0.5107521167827345,-67236.7565665902,7.4375,10.0,228.0,4,0
pges,res/networks/water,water.xbif50001_,6,5,2,95,-0.517825952346097,-67150.07253289499,7.0,8.0,216.0,4,0
phc,res/networks/water,water.xbif50001_,6,5,2,99,-0.5107521167827345,-67236.7565665902,7.4375,10.0,228.0,4,0
pfhcbes,res/networks/water,water.xbif50001_,6,5,3,99,-0.5167215400102979,-67259.47062072078,7.3125,12.0,222.0,4,0
pges,res/networks/water,water.xbif50001_,6,5,3,97,-0.491923660483593,-67064.85703363843,7.0625,8.0,218.0,4,0
phc,res/networks/water,water.xbif50001_,6,5,3,99,-0.5167215400102979,-67259.47062072078,7.3125,12.0,222.0,4,0
pfhcbes,res/networks/water,water.xbif50001_,6,5,5,105,-0.4782086545262025,-67190.55005602515,7.8125,16.0,234.0,5,0
pges,res/networks/water,water.xbif50001_,6,5,5,98,-0.47858599815884856,-67115.84747411762,7.1875,8.0,222.0,5,0
phc,res/networks/water,water.xbif50001_,6,5,5,102,-0.5006336456100955,-67259.70226447041,7.625,12.0,232.0,4,0
pfhcbes,res/networks/water,water.xbif50001_,6,5,7,99,-0.44367873368391536,-67092.49169902987,7.3125,12.0,222.0,4,0
pges,res/networks/water,water.xbif50001_,6,5,7,98,-0.4877408029831086,-67242.14303634937,7.1875,12.0,218.0,5,0
phc,res/networks/water,water.xbif50001_,6,5,7,99,-0.44367873368391536,-67092.49169902987,7.3125,12.0,222.0,4,0
pfhcbes,res/networks/water,water.xbif50001_,6,5,11,98,-0.4797413806188829,-67525.68482927697,7.5625,18.0,224.0,4,0
pges,res/networks/water,water.xbif50001_,6,5,11,99,-0.4560881912296617,-67208.83254327277,7.375,12.0,224.0,5,0
phc,res/networks/water,water.xbif50001_,6,5,11,98,-0.4797413806188829,-67525.68482927697,7.5625,18.0,224.0,4,0
pfhcbes,res/networks/water,water.xbif50001_,6,5,13,103,-0.4826947326403441,-67397.61638575987,7.8125,18.0,232.0,4,0
pges,res/networks/water,water.xbif50001_,6,5,13,98,-0.43726441555463397,-67179.9382239424,7.375,14.0,222.0,4,0
phc,res/networks/water,water.xbif50001_,6,5,13,104,-0.5009023368492175,-67398.86592783872,7.8125,20.0,230.0,4,0
pfhcbes,res/networks/water,water.xbif50001_,6,5,17,104,-0.4516874352102106,-67274.46476374677,7.75,18.0,230.0,4,0
