algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
pfhcbes,res/networks/child,child.xbif50001_,4,5,3,9,-0.6228203169326408,-63987.514067022006,1.3,14.0,12.0,5,0
pges,res/networks/child,child.xbif50001_,4,5,3,3,-0.5467935340912373,-62711.53647888057,0.4,4.0,4.0,7,0
phc,res/networks/child,child.xbif50001_,4,5,3,8,-0.5485762206427578,-64063.33489951098,1.1,14.0,8.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,4,5,5,8,-0.48214881852821423,-63826.597705519715,1.0,12.0,8.0,6,0
pges,res/networks/child,child.xbif50001_,4,5,5,4,-0.6463111259924202,-62746.862382564796,0.6,8.0,4.0,7,0
phc,res/networks/child,child.xbif50001_,4,5,5,8,-0.5854027293337689,-63826.597705519715,1.0,12.0,8.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,4,5,7,6,-0.6455719463257228,-63713.10514873259,0.8,10.0,6.0,5,0
pges,res/networks/child,child.xbif50001_,4,5,7,6,-0.6245902059397076,-63061.99563224772,0.8,10.0,6.0,6,0
phc,res/networks/child,child.xbif50001_,4,5,7,4,-0.666670064741432,-63012.78097980539,0.6,8.0,4.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,4,5,11,8,-0.6176501105095225,-64015.03865979349,1.0,10.0,10.0,6,0
pges,res/networks/child,child.xbif50001_,4,5,11,7,-0.5573389864740556,-63933.149318917436,0.8,8.0,8.0,5,0
phc,res/networks/child,child.xbif50001_,4,5,11,4,-0.5932199216818774,-63476.38236490561,0.5,4.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,4,5,13,8,-0.7099251562381511,-63660.06533682114,1.0,10.0,10.0,5,0
pges,res/networks/child,child.xbif50001_,4,5,13,10,-0.6681494386192445,-64093.70807656497,1.3,16.0,10.0,4,0
phc,res/networks/child,child.xbif50001_,4,5,13,8,-0.5908951906723141,-63660.06533682114,1.0,10.0,10.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,4,5,17,3,-0.6015146164057723,-62755.86294911354,0.3,2.0,4.0,5,0
pges,res/networks/child,child.xbif50001_,4,5,17,5,-0.6736106425793317,-62786.041789348805,0.6,4.0,8.0,5,0
phc,res/networks/child,child.xbif50001_,4,5,17,3,-0.6160620968654372,-62755.86294911354,0.3,2.0,4.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,4,5,19,11,-0.6860209997090337,-64237.128584844446,1.6,18.0,14.0,5,0
pges,res/networks/child,child.xbif50001_,4,5,19,3,-0.7190486961700292,-62742.155493838705,0.4,4.0,4.0,6,0
phc,res/networks/child,child.xbif50001_,4,5,19,7,-0.6263795859219854,-63326.21832165153,1.0,10.0,10.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,4,5,23,4,-0.7054451593228956,-62706.180709035,0.4,2.0,6.0,7,0
pges,res/networks/child,child.xbif50001_,4,5,23,2,-0.5948809133731047,-62656.96605659265,0.2,0.0,4.0,6,0
phc,res/networks/child,child.xbif50001_,4,5,23,12,-0.6641577192994806,-64158.02714746449,1.5,20.0,10.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,4,5,29,10,-0.7031194207132894,-63314.39088880067,1.4,14.0,14.0,4,0
pges,res/networks/child,child.xbif50001_,4,5,29,2,-0.6039655918238831,-62656.96605659266,0.2,0.0,4.0,6,0
phc,res/networks/child,child.xbif50001_,4,5,29,10,-0.7031194207132894,-63314.39088880067,1.4,14.0,14.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,6,5,2,7,-0.661302280168458,-63554.006262081064,1.0,14.0,6.0,4,0
pges,res/networks/child,child.xbif50001_,6,5,2,8,-0.5530943185974044,-63620.58808999701,0.8,8.0,8.0,4,0
phc,res/networks/child,child.xbif50001_,6,5,2,7,-0.661302280168458,-63554.006262081064,1.0,14.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,6,5,3,6,-0.6179904882362235,-63043.15415685939,0.8,10.0,6.0,4,0
pges,res/networks/child,child.xbif50001_,6,5,3,5,-0.6250964341117883,-63038.31608604869,0.6,4.0,8.0,5,0
