algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
phc,res/networks/hepar2,hepar2.xbif50001_,8,5,5,94,-0.4788325039503053,-165839.88580646575,4.4,14.0,294.0,6,1
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,8,5,7,97,-0.4870508348480184,-165895.09756150993,4.457142857142857,24.0,288.0,5,1
pges,res/networks/hepar2,hepar2.xbif50001_,8,5,7,91,-0.47639584900369325,-165895.91160211823,4.228571428571429,14.0,282.0,5,2
phc,res/networks/hepar2,hepar2.xbif50001_,8,5,7,98,-0.47828615764858723,-165871.63906378942,4.485714285714286,22.0,292.0,4,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,8,5,11,97,-0.4849651467857857,-165901.70469749064,4.542857142857143,22.0,296.0,6,1
pges,res/networks/hepar2,hepar2.xbif50001_,8,5,11,92,-0.45897921013701626,-165718.565895237,4.2,8.0,286.0,6,1
phc,res/networks/hepar2,hepar2.xbif50001_,8,5,11,96,-0.4806673674207287,-165884.56347328413,4.514285714285714,20.0,296.0,5,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,8,5,13,96,-0.4911266283561302,-165871.64125962302,4.485714285714286,14.0,300.0,5,1
pges,res/networks/hepar2,hepar2.xbif50001_,8,5,13,100,-0.4759153517208306,-166202.05449319497,4.628571428571429,32.0,292.0,5,2
phc,res/networks/hepar2,hepar2.xbif50001_,8,5,13,97,-0.4769820398505477,-165879.91526083142,4.514285714285714,16.0,300.0,5,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,8,5,17,96,-0.48474457589211095,-165955.49791028418,4.314285714285714,10.0,292.0,6,1
pges,res/networks/hepar2,hepar2.xbif50001_,8,5,17,93,-0.45643112351422044,-166044.97076745663,4.371428571428571,20.0,286.0,5,2
phc,res/networks/hepar2,hepar2.xbif50001_,8,5,17,88,-0.4762421140851028,-165845.6410411057,4.057142857142857,8.0,276.0,5,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,8,5,19,94,-0.4739717143687986,-165803.76650961113,4.4,18.0,290.0,5,0
pges,res/networks/hepar2,hepar2.xbif50001_,8,5,19,92,-0.46651981583678204,-165930.11841031362,4.257142857142857,14.0,284.0,6,2
phc,res/networks/hepar2,hepar2.xbif50001_,8,5,19,94,-0.4739717143687986,-165803.76650961113,4.4,18.0,290.0,5,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,8,5,23,91,-0.4816270147253871,-165752.3059336508,4.257142857142857,10.0,288.0,6,1
pges,res/networks/hepar2,hepar2.xbif50001_,8,5,23,94,-0.4883543213755261,-165828.51786553694,4.3428571428571425,16.0,288.0,6,1
phc,res/networks/hepar2,hepar2.xbif50001_,8,5,23,91,-0.4816270147253871,-165752.3059336508,4.257142857142857,10.0,288.0,6,1
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,8,5,29,99,-0.4803594170723998,-165843.9191363162,4.571428571428571,22.0,298.0,6,1
pges,res/networks/hepar2,hepar2.xbif50001_,8,5,29,89,-0.49432635752434023,-165759.11825966212,4.171428571428572,10.0,282.0,5,2
phc,res/networks/hepar2,hepar2.xbif50001_,8,5,29,98,-0.48958684692412635,-165825.89136378438,4.514285714285714,22.0,294.0,5,0
ges,res/networks/hepar2,hepar2.xbif50001_,0,10,-1,148,-0.4835733870389919,-170258.71142599112,6.314285714285714,0.0,442.0,0,0
hc,res/networks/hepar2,hepar2.xbif50001_,1,10,-1,89,-0.4681620577118231,-165662.0902034714,4.171428571428572,2.0,290.0,8,2
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,1,10,2,90,-0.46587043163700037,-165895.68536002203,4.2,8.0,286.0,8,3
pges,res/networks/hepar2,hepar2.xbif50001_,1,10,2,86,-0.4835917560106715,-165584.30973192744,4.0285714285714285,2.0,280.0,8,5
phc,res/networks/hepar2,hepar2.xbif50001_,1,10,2,90,-0.46587043163700037,-165895.68536002203,4.2,8.0,286.0,8,3
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,1,10,3,92,-0.4953300109527878,-165768.10089454445,4.257142857142857,6.0,292.0,8,3
pges,res/networks/hepar2,hepar2.xbif50001_,1,10,3,86,-0.4835917560106715,-165584.30973192744,4.0285714285714285,2.0,280.0,8,5
phc,res/networks/hepar2,hepar2.xbif50001_,1,10,3,92,-0.4953300109527878,-165768.10089454445,4.257142857142857,6.0,292.0,8,3
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,1,10,5,91,-0.4668381773400449,-165772.53909734802,4.285714285714286,6.0,294.0,8,3
pges,res/networks/hepar2,hepar2.xbif50001_,1,10,5,87,-0.4806062298296476,-165583.46978460482,4.085714285714285,2.0,284.0,8,5
phc,res/networks/hepar2,hepar2.xbif50001_,1,10,5,91,-0.4668381773400449,-165772.53909734802,4.285714285714286,6.0,294.0,8,3
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,1,10,7,90,-0.4929533718178085,-165704.42098919777,4.2,2.0,292.0,8,3
pges,res/networks/hepar2,hepar2.xbif50001_,1,10,7,86,-0.46083147359549376,-165614.70015369574,4.0285714285714285,2.0,280.0,8,4
phc,res/networks/hepar2,hepar2.xbif50001_,1,10,7,90,-0.4929533718178085,-165704.42098919777,4.2,2.0,292.0,8,2
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,1,10,11,87,-0.49368831573644456,-165681.05642397198,4.085714285714285,2.0,284.0,8,3
pges,res/networks/hepar2,hepar2.xbif50001_,1,10,11,86,-0.47206712164022935,-165614.70015369574,4.0285714285714285,2.0,280.0,8,4
phc,res/networks/hepar2,hepar2.xbif50001_,1,10,11,87,-0.49368831573644456,-165681.05642397198,4.085714285714285,2.0,284.0,8,3
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,1,10,13,91,-0.4975448328709618,-165777.62476021386,4.2,8.0,286.0,8,3
pges,res/networks/hepar2,hepar2.xbif50001_,1,10,13,86,-0.4835917560106715,-165584.30973192744,4.0285714285714285,2.0,280.0,8,5
phc,res/networks/hepar2,hepar2.xbif50001_,1,10,13,91,-0.4975448328709618,-165777.62476021386,4.2,8.0,286.0,8,3
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,1,10,17,90,-0.4852457429212829,-165751.56204651066,4.228571428571429,4.0,292.0,8,3
pges,res/networks/hepar2,hepar2.xbif50001_,1,10,17,87,-0.4806062298296476,-165583.46978460482,4.085714285714285,2.0,284.0,8,5
phc,res/networks/hepar2,hepar2.xbif50001_,1,10,17,90,-0.4852457429212829,-165751.56204651066,4.228571428571429,4.0,292.0,8,3
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,1,10,19,88,-0.47261866624872245,-165680.95348355992,4.114285714285714,4.0,284.0,8,3
pges,res/networks/hepar2,hepar2.xbif50001_,1,10,19,86,-0.4835917560106715,-165584.30973192744,4.0285714285714285,2.0,280.0,8,5
phc,res/networks/hepar2,hepar2.xbif50001_,1,10,19,88,-0.47261866624872245,-165680.95348355992,4.114285714285714,4.0,284.0,8,3
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,1,10,23,89,-0.4791849635840824,-165710.90181917173,4.142857142857143,2.0,288.0,8,3
pges,res/networks/hepar2,hepar2.xbif50001_,1,10,23,86,-0.47206712164022935,-165614.70015369574,4.0285714285714285,2.0,280.0,8,4
phc,res/networks/hepar2,hepar2.xbif50001_,1,10,23,89,-0.4791849635840824,-165710.90181917173,4.142857142857143,2.0,288.0,8,3
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,1,10,29,90,-0.482391068811135,-165889.25694336227,4.2,8.0,286.0,8,3
pges,res/networks/hepar2,hepar2.xbif50001_,1,10,29,87,-0.4806062298296476,-165583.46978460482,4.085714285714285,2.0,284.0,8,5
phc,res/networks/hepar2,hepar2.xbif50001_,1,10,29,90,-0.482391068811135,-165889.25694336227,4.2,8.0,286.0,8,3
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,2,10,2,90,-0.3951267320526178,-165828.20134435734,4.057142857142857,6.0,278.0,6,1
pges,res/networks/hepar2,hepar2.xbif50001_,2,10,2,85,-0.47896704402181367,-165621.60074295144,4.0,0.0,280.0,6,3
phc,res/networks/hepar2,hepar2.xbif50001_,2,10,2,91,-0.48883967468282624,-165879.05887422498,4.142857142857143,10.0,280.0,6,1
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,2,10,3,90,-0.48424575119973046,-165836.31127732855,4.2,10.0,284.0,6,1
pges,res/networks/hepar2,hepar2.xbif50001_,2,10,3,89,-0.40956899440613714,-165659.83192616768,4.228571428571429,2.0,294.0,6,2
phc,res/networks/hepar2,hepar2.xbif50001_,2,10,3,90,-0.48424575119973046,-165836.31127732855,4.2,10.0,284.0,6,1
