algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
fges-faithfulness,alarm,alarm.xbif_,16,0,0,-1,10,-0.28190824997835057,-54074.96493375085,22.0,6.0,16.0,1,1.089
fges-faithfulness,alarm,alarm.xbif_,1,0,0,-1,10,-0.28190824997835057,-54074.96493375085,22.0,6.0,16.0,1,1.539
fges-faithfulness,alarm,alarm.xbif_,2,0,0,-1,10,-0.28190824997835057,-54074.96493375085,22.0,6.0,16.0,1,1.42
fges-faithfulness,alarm,alarm.xbif_,4,0,0,-1,10,-0.28190824997835057,-54074.96493375085,22.0,6.0,16.0,1,1.129
fges-faithfulness,alarm,alarm.xbif_,8,0,0,-1,10,-0.28190824997835057,-54074.96493375085,22.0,6.0,16.0,1,1.213
ges-tetrad,alarm,alarm.xbif50001246_,16,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.791
ges-tetrad,alarm,alarm.xbif50001246_,1,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.886
ges-tetrad,alarm,alarm.xbif50001246_,2,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,1.871
ges-tetrad,alarm,alarm.xbif50001246_,4,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,2.105
ges-tetrad,alarm,alarm.xbif50001246_,8,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.876
ges-tetrad,alarm,alarm.xbif50001_,16,0,0,-1,7,-0.2814405426843483,-53530.062035930845,14.0,0.0,14.0,1,1.231
ges-tetrad,alarm,alarm.xbif50001_,1,0,0,-1,7,-0.2814405426843483,-53530.062035930845,14.0,0.0,14.0,1,1.883
ges-tetrad,alarm,alarm.xbif50001_,2,0,0,-1,7,-0.2814405426843483,-53530.062035930845,14.0,0.0,14.0,1,1.539
ges-tetrad,alarm,alarm.xbif50001_,4,0,0,-1,7,-0.2814405426843483,-53530.062035930845,14.0,0.0,14.0,1,1.308
ges-tetrad,alarm,alarm.xbif50001_,8,0,0,-1,7,-0.2814405426843483,-53530.062035930845,14.0,0.0,14.0,1,1.431
ges-tetrad,alarm,alarm.xbif50002_,16,0,0,-1,8,-0.28181102538665115,-53755.87016052619,16.0,2.0,14.0,1,1.225
ges-tetrad,alarm,alarm.xbif50002_,1,0,0,-1,8,-0.28181102538665115,-53755.87016052619,16.0,2.0,14.0,1,1.984
ges-tetrad,alarm,alarm.xbif50002_,2,0,0,-1,8,-0.28181102538665115,-53755.87016052619,16.0,2.0,14.0,1,1.554
ges-tetrad,alarm,alarm.xbif50002_,4,0,0,-1,8,-0.28181102538665115,-53755.87016052619,16.0,2.0,14.0,1,2.676
ges-tetrad,alarm,alarm.xbif50002_,8,0,0,-1,8,-0.28181102538665115,-53755.87016052619,16.0,2.0,14.0,1,1.334
ges-tetrad,alarm,alarm.xbif50003_,16,0,0,-1,7,-0.28135323001253204,-53485.56894634209,14.0,0.0,14.0,1,0.917
ges-tetrad,alarm,alarm.xbif50003_,1,0,0,-1,7,-0.28135323001253204,-53485.56894634209,14.0,0.0,14.0,1,1.642
ges-tetrad,alarm,alarm.xbif50003_,2,0,0,-1,7,-0.28135323001253204,-53485.56894634209,14.0,0.0,14.0,1,1.09
ges-tetrad,alarm,alarm.xbif50003_,4,0,0,-1,7,-0.28135323001253204,-53485.56894634209,14.0,0.0,14.0,1,2.436
ges-tetrad,alarm,alarm.xbif50003_,8,0,0,-1,7,-0.28135323001253204,-53485.56894634209,14.0,0.0,14.0,1,1.065
ges-tetrad,alarm,alarm.xbif50004_,16,0,0,-1,7,-0.28135323001253204,-53778.532213361286,14.0,0.0,14.0,1,0.697
ges-tetrad,alarm,alarm.xbif50004_,1,0,0,-1,7,-0.28135323001253204,-53778.532213361286,14.0,0.0,14.0,1,1.121
ges-tetrad,alarm,alarm.xbif50004_,2,0,0,-1,7,-0.28135323001253204,-53778.532213361286,14.0,0.0,14.0,1,0.823
ges-tetrad,alarm,alarm.xbif50004_,4,0,0,-1,7,-0.28135323001253204,-53778.532213361286,14.0,0.0,14.0,1,1.916
ges-tetrad,alarm,alarm.xbif50004_,8,0,0,-1,7,-0.28135323001253204,-53778.532213361286,14.0,0.0,14.0,1,0.71
ges-tetrad,alarm,alarm.xbif50005_,16,0,0,-1,10,-0.2814534709826712,-54619.87018166658,24.0,8.0,16.0,1,0.981
ges-tetrad,alarm,alarm.xbif50005_,1,0,0,-1,10,-0.2814534709826712,-54619.87018166658,24.0,8.0,16.0,1,1.719
ges-tetrad,alarm,alarm.xbif50005_,2,0,0,-1,10,-0.2814534709826712,-54619.87018166658,24.0,8.0,16.0,1,1.226
ges-tetrad,alarm,alarm.xbif50005_,4,0,0,-1,10,-0.2814534709826712,-54619.87018166658,24.0,8.0,16.0,1,0.998
ges-tetrad,alarm,alarm.xbif50005_,8,0,0,-1,10,-0.2814534709826712,-54619.87018166658,24.0,8.0,16.0,1,1.014
ges-tetrad,alarm,alarm.xbif50006_,16,0,0,-1,9,-0.2818495650411003,-53810.65284636689,18.0,2.0,16.0,1,1.114
ges-tetrad,alarm,alarm.xbif50006_,1,0,0,-1,9,-0.2818495650411003,-53810.65284636689,18.0,2.0,16.0,1,2.038
ges-tetrad,alarm,alarm.xbif50006_,2,0,0,-1,9,-0.2818495650411003,-53810.65284636689,18.0,2.0,16.0,1,1.171
ges-tetrad,alarm,alarm.xbif50006_,4,0,0,-1,9,-0.2818495650411003,-53810.65284636689,18.0,2.0,16.0,1,1.074
ges-tetrad,alarm,alarm.xbif50006_,8,0,0,-1,9,-0.2818495650411003,-53810.65284636689,18.0,2.0,16.0,1,1.078
ges-tetrad,alarm,alarm.xbif50007_,16,0,0,-1,7,-0.28135323001253204,-53649.90710812798,14.0,0.0,14.0,1,0.979
ges-tetrad,alarm,alarm.xbif50007_,1,0,0,-1,7,-0.28135323001253204,-53649.90710812798,14.0,0.0,14.0,1,1.124
ges-tetrad,alarm,alarm.xbif50007_,2,0,0,-1,7,-0.28135323001253204,-53649.90710812798,14.0,0.0,14.0,1,1.062
ges-tetrad,alarm,alarm.xbif50007_,4,0,0,-1,7,-0.28135323001253204,-53649.90710812798,14.0,0.0,14.0,1,2.369
ges-tetrad,alarm,alarm.xbif50007_,8,0,0,-1,7,-0.28135323001253204,-53649.90710812798,14.0,0.0,14.0,1,0.979
