algorithm,network,bbdd,threads,pges_threads,interleaving,seed,SHD,loglike,bdeu,deltaMB,deltaMB+,deltaMB-,iterations,time(s)
pges-jc,andes,andes.xbif50001246_,4,4,10,-1,168,-0.5449787555730544,-471846.18193680485,364.0,20.0,344.0,11,15.778
pges-jc,andes,andes.xbif50001246_,4,4,15,-1,164,-0.5449816033068328,-471620.75670600095,354.0,10.0,344.0,8,14.853
pges-jc,andes,andes.xbif50001246_,4,4,5,-1,176,-0.5449190703469411,-472088.2745090581,380.0,28.0,352.0,21,18.718
pges-jc,andes,andes.xbif50001246_,8,8,10,-1,185,-0.5449827361038223,-472249.69592130074,400.0,16.0,384.0,9,14.522
pges-jc,andes,andes.xbif50001246_,8,8,15,-1,164,-0.5464256467911186,-471620.75670600095,354.0,10.0,344.0,7,14.78
pges-jc,andes,andes.xbif50001246_,8,8,5,-1,175,-0.5449560841227661,-471878.12187103793,384.0,38.0,346.0,14,16.49
pges-jc,andes,andes.xbif50001_,16,16,10,-1,154,-0.5455479378824928,-472155.0979287002,336.0,10.0,326.0,100,213.526
pges-jc,andes,andes.xbif50001_,16,16,15,-1,153,-0.5472006559659491,-472134.42587132065,332.0,6.0,326.0,100,197.641
pges-jc,andes,andes.xbif50001_,16,16,5,-1,150,-0.5455646379311428,-471989.3540352882,326.0,0.0,326.0,100,215.168
pges-jc,andes,andes.xbif50001_,2,2,10,-1,150,-0.5449746524093889,-472015.63801747217,326.0,0.0,326.0,100,86.035
pges-jc,andes,andes.xbif50001_,2,2,15,-1,165,-0.5466363326647045,-472370.36886444583,356.0,24.0,332.0,100,86.791
pges-jc,andes,andes.xbif50001_,2,2,5,-1,160,-0.5466390922201143,-472252.13963725173,348.0,16.0,332.0,100,82.971
pges-jc,andes,andes.xbif50001_,4,4,10,-1,156,-0.5466448501309904,-472047.22828885354,338.0,6.0,332.0,100,77.186
pges-jc,andes,andes.xbif50001_,4,4,15,-1,150,-0.5449805662255907,-471963.57395823684,326.0,0.0,326.0,100,78.981
pges-jc,andes,andes.xbif50001_,4,4,5,-1,164,-0.5465689517305823,-472415.3349608509,356.0,26.0,330.0,100,89.114
pges-jc,andes,andes.xbif50001_,8,8,10,-1,150,-0.5449806374487686,-471963.57395823684,326.0,0.0,326.0,100,121.833
pges-jc,andes,andes.xbif50001_,8,8,15,-1,150,-0.5455606726529713,-472007.77307060274,326.0,0.0,326.0,100,126.758
pges-jc,andes,andes.xbif50001_,8,8,5,-1,150,-0.5449805662255907,-471963.57395823684,326.0,0.0,326.0,100,115.857
pges-jc,andes,andes.xbif50002_,16,16,10,-1,136,-0.5463791183607462,-471780.6053472788,294.0,0.0,294.0,100,209.098
pges-jc,andes,andes.xbif50002_,16,16,15,-1,139,-0.5437593635525222,-471972.6197722066,300.0,6.0,294.0,6,15.996
pges-jc,andes,andes.xbif50002_,16,16,5,-1,139,-0.5449682428650101,-471972.6197722066,300.0,6.0,294.0,10,18.673
pges-jc,andes,andes.xbif50002_,2,2,10,-1,136,-0.5455572292440888,-471812.5790565532,294.0,0.0,294.0,20,48.929
pges-jc,andes,andes.xbif50002_,2,2,15,-1,155,-0.5422756779098659,-471880.70889751404,334.0,16.0,318.0,14,47.695
pges-jc,andes,andes.xbif50002_,2,2,5,-1,136,-0.544967730446299,-471793.4338472798,294.0,0.0,294.0,35,52.813
pges-jc,andes,andes.xbif50002_,4,4,10,-1,136,-0.5449682695791624,-471780.6053472788,294.0,0.0,294.0,100,80.831
pges-jc,andes,andes.xbif50002_,4,4,15,-1,136,-0.5449682323502705,-471793.0270985376,294.0,0.0,294.0,9,15.784
pges-jc,andes,andes.xbif50002_,4,4,5,-1,136,-0.5449671607343953,-471806.16775717126,294.0,0.0,294.0,20,19.766
pges-jc,andes,andes.xbif50002_,8,8,10,-1,136,-0.5455512002617418,-471780.6053472788,294.0,0.0,294.0,100,129.7
pges-jc,andes,andes.xbif50002_,8,8,15,-1,136,-0.5469877183603009,-471780.6053472788,294.0,0.0,294.0,100,134.737
pges-jc,andes,andes.xbif50002_,8,8,5,-1,146,-0.5449681220096114,-471996.83076885395,316.0,16.0,300.0,15,18.536
pges-jc,andes,andes.xbif50003_,16,16,10,-1,156,-0.5442109533212756,-470854.0694221032,336.0,10.0,326.0,100,193.887
pges-jc,andes,andes.xbif50003_,16,16,15,-1,161,-0.5365934141517381,-470971.3135150389,354.0,28.0,326.0,7,17.709
pges-jc,andes,andes.xbif50003_,16,16,5,-1,156,-0.5442109533212756,-470854.0694221032,336.0,10.0,326.0,100,195.205
pges-jc,andes,andes.xbif50003_,2,2,10,-1,156,-0.5449798499121488,-470874.02540226246,336.0,10.0,326.0,20,54.42
