network,algorithm,pges_threads,SHD,loglike,bdeu,deltaMM,deltaMM+,deltaMM-,time(s),deltaBDeu,deltas,deltaSHD,deltaSHDemptySHD
barley,pGES,4,57.90909090909091,-0.12248299261326406,-52.95968897296353,138.9090909090909,13.818181818181818,125.0909090909091,1.7207272727272729,28.08123612079225,16.392238474769712,68.0909090909091,54.04040404040404
barley,pGES,8,60.45454545454545,-0.12139329891965663,-52.91757955428844,145.45454545454547,13.818181818181818,131.63636363636363,1.8023636363636364,28.123345539467337,15.814225251060087,65.54545454545455,52.020202020202014
barley,pGES,16,60.54545454545455,-0.12375824043812825,-53.23181433415425,146.1818181818182,14.727272727272727,131.45454545454547,2.1137272727272727,27.809110759601523,13.189271884684764,65.45454545454545,51.94805194805195
barley,pGES-jc,2,56.45454545454545,-0.12070164663129884,-52.81672409943977,138.1818181818182,10.909090909090908,127.27272727272727,2.1291818181818183,28.224200994316007,13.318879557276894,69.54545454545455,55.19480519480519
barley,pGES-jc,4,56.45454545454545,-0.12271664706164796,-52.80398006616111,138.1818181818182,10.909090909090908,127.27272727272727,1.9643636363636363,28.23694502759466,14.598293744390283,69.54545454545455,55.19480519480519
barley,pGES-jc,8,56.45454545454545,-0.12156246410175178,-52.82014308321456,138.36363636363637,10.545454545454545,127.81818181818181,2.801727272727273,28.220782010541214,11.267081090942261,69.54545454545455,55.19480519480519
barley,pGES-jc,16,56.09090909090909,-0.12230081087992097,-52.79338814411346,137.27272727272728,10.363636363636363,126.9090909090909,1.9221818181818184,28.24753694964232,14.836979264655453,69.9090909090909,55.483405483405484
child,Fges,1,5.363636363636363,-0.6122988085340774,-12.45872483375568,11.272727272727273,1.0909090909090908,10.181818181818182,5.243818181818182,4.756575760823573,1.0690681032586786,24.636363636363637,82.12121212121212
child,Fges-faithfulness,1,4.454545454545454,-0.6118102820321124,-12.454961863723172,9.454545454545455,1.0909090909090908,8.363636363636363,5.895363636363635,4.760338730856083,0.9304552082613401,25.545454545454547,85.15151515151516
child,GES,1,8.272727272727273,-0.7423601484925534,-12.469196002346303,16.545454545454547,0.5454545454545454,16.0,0.38127272727272726,4.746104592232952,12.7634343351263,21.727272727272727,72.42424242424242
child,pGES,2,1.0,-0.7720029900263543,-12.425288300316863,2.5454545454545454,1.0909090909090908,1.4545454545454546,0.8983636363636364,4.79001229426239,5.484257080702372,29.0,96.66666666666666
child,pGES,4,1.1818181818181819,-0.7180161859432967,-12.42701600408495,2.909090909090909,1.0909090909090908,1.8181818181818181,0.8447272727272727,4.788284590494305,5.750037827225199,28.818181818181817,96.06060606060606
child,pGES,8,1.7272727272727273,-0.7075943616624025,-12.428825504747062,4.0,1.0909090909090908,2.909090909090909,0.9079090909090909,4.7864750898321935,5.37213558076888,28.272727272727273,94.24242424242425
child,pGES,16,0.8181818181818182,-0.7288823477542267,-12.423665385594525,2.1818181818181817,1.0909090909090908,1.0909090909090908,1.1270909090909091,4.7916352089847285,4.31201247929927,29.181818181818183,97.27272727272727
child,pGES-jc,2,4.454545454545454,-0.7734726439612726,-12.450806946603183,9.454545454545455,1.0909090909090908,8.363636363636363,0.9175454545454546,4.764493647976071,5.392413187309493,25.545454545454547,85.15151515151514
child,pGES-jc,4,2.3636363636363638,-0.750616518682408,-12.436169142930494,5.454545454545454,1.2727272727272727,4.181818181818182,0.9672727272727273,4.779131451648761,5.030006838578322,27.636363636363637,92.12121212121212
child,pGES-jc,8,0.8181818181818182,-0.7123265455039256,-12.423665385594525,2.1818181818181817,1.0909090909090908,1.0909090909090908,0.9250909090909091,4.7916352089847285,5.25339109512196,29.181818181818183,97.27272727272727
child,pGES-jc,16,1.5454545454545454,-0.6627830036153862,-12.428307205147735,3.6363636363636362,1.0909090909090908,2.5454545454545454,0.9552727272727272,4.786993389431519,5.1095852280234375,28.454545454545453,94.84848484848484
diabetes,Fges,1,380.27272727272725,0.0,-277.62984861752153,855.8181818181819,308.3636363636364,547.4545454545455,206.19727272727275,471.3679079952244,2.289268791500404,438.72727272727275,53.56865356865357
diabetes,Fges-faithfulness,1,379.27272727272725,0.0,-272.1921903723056,853.8181818181819,321.6363636363636,532.1818181818181,765.1654545454545,476.8055662404403,0.6232422756772555,439.72727272727275,53.690753690753695
