algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
pges-jc,alarm,alarm.xbif50005_,16,16,10,-1,10,-0.4268631727205671,-54639.78675323567,24.0,8.0,16.0,5,1.268
pges-jc,alarm,alarm.xbif50005_,16,16,15,-1,10,-0.4143380052184318,-54639.786753235676,24.0,8.0,16.0,4,1.208
pges-jc,alarm,alarm.xbif50005_,16,16,5,-1,12,-0.4111275677347626,-54751.007814050026,24.0,6.0,18.0,5,1.349
pges-jc,alarm,alarm.xbif50005_,2,2,10,-1,12,-0.43649231521179505,-54899.40982583977,30.0,10.0,20.0,6,2.123
pges-jc,alarm,alarm.xbif50005_,2,2,15,-1,7,-0.4258403585968386,-54519.91525648836,14.0,0.0,14.0,5,1.859
pges-jc,alarm,alarm.xbif50005_,2,2,5,-1,7,-0.42028780229444374,-54535.79315997996,14.0,0.0,14.0,8,1.95
pges-jc,alarm,alarm.xbif50005_,4,4,10,-1,7,-0.40864028572014716,-54530.43420852312,14.0,0.0,14.0,5,1.302
pges-jc,alarm,alarm.xbif50005_,4,4,15,-1,11,-0.40875384253503644,-54560.60622406854,22.0,4.0,18.0,5,0.826
pges-jc,alarm,alarm.xbif50005_,4,4,5,-1,14,-0.43869845358635445,-54832.348334213224,32.0,10.0,22.0,8,1.141
pges-jc,alarm,alarm.xbif50005_,8,8,10,-1,10,-0.42600815720574725,-54639.786753235676,24.0,8.0,16.0,5,1.779
pges-jc,alarm,alarm.xbif50005_,8,8,15,-1,10,-0.44808123655854015,-54639.78675323566,24.0,8.0,16.0,5,0.997
pges-jc,alarm,alarm.xbif50005_,8,8,5,-1,10,-0.43643565685272423,-54639.786753235676,24.0,8.0,16.0,6,1.013
pges-jc,alarm,alarm.xbif50006_,16,16,10,-1,12,-0.4382829239515819,-53926.24873090908,28.0,4.0,24.0,7,2.007
pges-jc,alarm,alarm.xbif50006_,16,16,15,-1,11,-0.4175051867460588,-53818.53476088239,22.0,4.0,18.0,5,1.284
pges-jc,alarm,alarm.xbif50006_,16,16,5,-1,19,-0.44801953067847233,-54166.65060837062,44.0,12.0,32.0,7,1.805
pges-jc,alarm,alarm.xbif50006_,2,2,10,-1,12,-0.42227203615773806,-53924.60527239598,24.0,8.0,16.0,7,2.588
pges-jc,alarm,alarm.xbif50006_,2,2,15,-1,7,-0.4258403585968386,-53848.610614795245,14.0,0.0,14.0,6,2.715
pges-jc,alarm,alarm.xbif50006_,2,2,5,-1,17,-0.44077917941308614,-54211.21426750435,36.0,18.0,18.0,11,2.9
pges-jc,alarm,alarm.xbif50006_,4,4,10,-1,11,-0.42898906438254086,-53990.219853289316,22.0,4.0,18.0,7,1.338
pges-jc,alarm,alarm.xbif50006_,4,4,15,-1,7,-0.42336149631522924,-53801.20419470125,14.0,0.0,14.0,5,1.068
pges-jc,alarm,alarm.xbif50006_,4,4,5,-1,18,-0.4297807155169976,-54135.21204565599,40.0,18.0,22.0,8,1.134
pges-jc,alarm,alarm.xbif50006_,8,8,10,-1,10,-0.44103810066465243,-54017.432965221735,22.0,8.0,14.0,5,1.177
pges-jc,alarm,alarm.xbif50006_,8,8,15,-1,7,-0.44280382810443364,-53801.20419470125,14.0,0.0,14.0,5,1.531
pges-jc,alarm,alarm.xbif50006_,8,8,5,-1,10,-0.43224759809547014,-54017.432965221735,22.0,8.0,14.0,7,1.34
pges-jc,alarm,alarm.xbif50007_,16,16,10,-1,12,-0.42203922879182415,-54080.96632246524,24.0,8.0,16.0,6,1.344
pges-jc,alarm,alarm.xbif50007_,16,16,15,-1,7,-0.39442450654288547,-53649.90710812798,14.0,0.0,14.0,4,1.159
pges-jc,alarm,alarm.xbif50007_,16,16,5,-1,10,-0.4403774993381413,-53887.159454499364,22.0,6.0,16.0,5,1.242
pges-jc,alarm,alarm.xbif50007_,2,2,10,-1,7,-0.4305100645481988,-53649.90710812798,14.0,0.0,14.0,6,2.312
pges-jc,alarm,alarm.xbif50007_,2,2,15,-1,7,-0.42008957799217583,-53649.90710812798,14.0,0.0,14.0,6,2.161
pges-jc,alarm,alarm.xbif50007_,2,2,5,-1,7,-0.4501502241214796,-53649.90710812798,14.0,0.0,14.0,9,2.578
pges-jc,alarm,alarm.xbif50007_,4,4,10,-1,19,-0.41966785903074133,-54264.48037224543,44.0,24.0,20.0,5,0.93
pges-jc,alarm,alarm.xbif50007_,4,4,15,-1,12,-0.4075226031875563,-53977.978236698575,24.0,8.0,16.0,5,1.032
pges-jc,alarm,alarm.xbif50007_,4,4,5,-1,16,-0.44611900220563705,-54316.71816135774,42.0,18.0,24.0,8,0.951
pges-jc,alarm,alarm.xbif50007_,8,8,10,-1,14,-0.41388356611845506,-54155.18212936298,32.0,14.0,18.0,5,1.352
pges-jc,alarm,alarm.xbif50007_,8,8,15,-1,7,-0.40908503784476996,-53649.90710812798,14.0,0.0,14.0,5,1.906
pges-jc,alarm,alarm.xbif50007_,8,8,5,-1,12,-0.4278484864721132,-53941.271519806156,28.0,12.0,16.0,8,1.237
pges-jc,alarm,alarm.xbif50008_,16,16,10,-1,8,-0.41075519159024204,-54352.73906113071,16.0,2.0,14.0,5,1.468
pges-jc,alarm,alarm.xbif50008_,16,16,15,-1,14,-0.43576191908806744,-54305.94879711993,32.0,6.0,26.0,5,1.641
pges-jc,alarm,alarm.xbif50008_,16,16,5,-1,12,-0.4207594977536086,-54273.739214519985,24.0,8.0,16.0,5,1.37
pges-jc,alarm,alarm.xbif50008_,2,2,10,-1,11,-0.4574049177442194,-54388.53500092217,30.0,8.0,22.0,6,1.789
pges-jc,alarm,alarm.xbif50008_,2,2,15,-1,9,-0.41106853531992593,-54392.87852286402,20.0,6.0,14.0,4,1.958
pges-jc,alarm,alarm.xbif50008_,2,2,5,-1,13,-0.43294882399607093,-54454.35872785162,36.0,18.0,18.0,8,1.948
pges-jc,alarm,alarm.xbif50008_,4,4,10,-1,10,-0.4299287572414802,-54267.28478492948,24.0,2.0,22.0,8,1.153
pges-jc,alarm,alarm.xbif50008_,4,4,15,-1,7,-0.40470996714094953,-54211.83652719083,14.0,0.0,14.0,6,0.896
pges-jc,alarm,alarm.xbif50008_,4,4,5,-1,12,-0.42325712626393025,-54422.348794400736,26.0,10.0,16.0,6,1.009
pges-jc,alarm,alarm.xbif50008_,8,8,10,-1,10,-0.4299287572414802,-54267.28478492948,24.0,2.0,22.0,8,1.573
