algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,4,5,13,33,-0.49603106400370234,-58452.898965447035,2.2162162162162162,40.0,42.0,6,3
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,4,5,17,18,-0.4934389312802469,-58083.17242295565,1.2972972972972974,14.0,34.0,6,3
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,4,5,3,30,-0.44550387220079307,-57975.925178573016,2.054054054054054,30.0,46.0,7,6
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,4,5,19,23,-0.4410075818167962,-57623.521896626386,1.6216216216216217,22.0,38.0,6,3
ges,parallelbns/res/networks/alarm,alarm.xbif_,0,10,-1,59,-0.4244589606777011,-80092.4267765806,3.5675675675675675,4.0,128.0,0,2
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,4,5,23,28,-0.3994007562812936,-57669.746790100304,1.8918918918918919,26.0,44.0,6,3
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,4,5,29,21,-0.41600874864908244,-57335.87058033744,1.2432432432432432,14.0,32.0,7,3
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,4,5,7,28,-0.5120762171445653,-57476.93737261231,1.8918918918918919,30.0,40.0,8,7
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,10,2,18,-0.40900168911168194,-56863.71619386451,1.2432432432432432,10.0,36.0,8,9
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,10,17,28,-0.4710487638804204,-58119.7706539932,1.8918918918918919,30.0,40.0,7,6
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,10,3,22,-0.5019518433904854,-57437.28835795234,1.4594594594594594,16.0,38.0,8,10
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,10,5,24,-0.4470073255653863,-57814.98396497896,1.6756756756756757,24.0,38.0,6,9
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,10,11,36,-0.4840307322720797,-58109.34636666155,2.324324324324324,32.0,54.0,6,8
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,10,19,19,-0.43104176203001504,-57115.42944746311,1.2972972972972974,16.0,32.0,6,7
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,10,2,26,-0.4119714486450211,-57800.82005394317,2.0,32.0,42.0,5,3
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,10,7,26,-0.42002509584971964,-57782.7019432464,1.7837837837837838,26.0,40.0,6,9
hc,parallelbns/res/networks/alarm,alarm.xbif_,1,10,-1,24,-0.2867414238005255,-57403.82806834273,1.5135135135135136,20.0,36.0,7,5
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,10,7,24,-0.4441227390622548,-57343.00155456592,1.7297297297297298,28.0,36.0,4,3
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,10,29,27,-0.40327933636131064,-57566.35281375947,1.7297297297297298,26.0,38.0,6,6
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,10,3,38,-0.45696029213023825,-58702.8668239385,2.810810810810811,54.0,50.0,5,5
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,10,5,30,-0.4519996082888347,-57823.0995856685,2.108108108108108,34.0,44.0,5,4
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,10,11,27,-0.40371221448349626,-58220.708095571936,1.945945945945946,30.0,42.0,4,4
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,10,13,21,-0.4983014269316019,-57222.3082426086,1.5675675675675675,24.0,34.0,5,4
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,10,13,28,-0.35798404659938,-57412.401253653814,1.837837837837838,28.0,40.0,7,13
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,10,23,28,-0.43639643517574295,-57731.30575698545,1.7837837837837838,26.0,40.0,8,10
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,10,17,19,-0.43273980558391006,-57850.26315872157,1.5675675675675675,28.0,30.0,5,3
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,10,19,27,-0.45117761721870353,-58242.99657513974,2.054054054054054,38.0,38.0,4,2
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,10,23,28,-0.41997405617835065,-58229.3868709758,2.0,36.0,38.0,5,2
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,4,10,7,27,-0.4640092638712344,-58047.87699512584,2.0,36.0,38.0,4,2
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,10,29,21,-0.4642366490513998,-57434.8813009574,1.2972972972972974,16.0,32.0,4,2
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,4,10,2,29,-0.44980646421984055,-58022.20293770262,2.1621621621621623,34.0,46.0,5,3
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,4,10,5,31,-0.5161052079001555,-57807.35511089431,2.2162162162162162,36.0,46.0,6,4
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,4,10,3,28,-0.4759388317702056,-58058.57812662949,2.054054054054054,34.0,42.0,6,4
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,4,10,11,23,-0.4536759147563631,-57276.97312367756,1.5135135135135136,22.0,34.0,6,4
