algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,13,87,-0.47620777298727746,-165797.80655867248,4.114285714285714,8.0,280.0,7,10
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,17,91,-0.47032696002325747,-165783.1501668389,4.285714285714286,4.0,296.0,6,9
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,19,86,-0.41513598154461345,-165758.3505556736,4.114285714285714,2.0,286.0,5,9
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,2,88,-0.4762632542022408,-165924.78874042185,3.8857142857142857,10.0,262.0,5,5
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,29,84,-0.49037486279643555,-165705.41687518748,3.9714285714285715,0.0,278.0,5,8
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,23,84,-0.4860013514262553,-165688.91886677142,3.9714285714285715,0.0,278.0,6,10
hc,parallelbns/res/networks/hepar2,hepar2.xbif_,1,15,-1,90,-0.46837613358390096,-165760.99537522817,4.2,4.0,290.0,6,10
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,3,92,-0.4259121006733728,-166092.99826486217,4.257142857142857,18.0,280.0,5,5
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,5,85,-0.4754773016162419,-165849.73810709518,4.0,6.0,274.0,5,5
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,7,91,-0.4637015865414475,-165908.2312274209,4.171428571428572,12.0,280.0,5,5
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,11,92,-0.48377823034291234,-165851.9038044013,4.314285714285714,12.0,290.0,5,5
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,13,91,-0.4853455187886603,-165820.85315022324,4.228571428571429,12.0,284.0,5,5
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,17,93,-0.4812078141177537,-165870.0317897021,4.371428571428571,16.0,290.0,6,5
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,19,90,-0.4848603107189149,-165901.3668279146,4.228571428571429,12.0,284.0,5,5
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,23,90,-0.48681726179439755,-165867.68561324303,4.114285714285714,8.0,280.0,5,5
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,29,94,-0.47679249134015933,-165848.26149489934,4.4,18.0,290.0,6,6
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,2,89,-0.4901836406578943,-165959.2939604785,3.942857142857143,14.0,262.0,7,6
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,3,90,-0.4651291878268616,-166079.74232005372,4.2,16.0,278.0,6,6
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,7,90,-0.4899466339083323,-165901.87641568758,4.057142857142857,14.0,270.0,7,6
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,5,87,-0.49109551667070833,-165820.52434003967,4.142857142857143,4.0,286.0,7,8
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,11,92,-0.46844121184379384,-165855.05959889514,4.314285714285714,12.0,290.0,7,6
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,13,91,-0.4857065366951412,-165820.85315022318,4.228571428571429,12.0,284.0,8,6
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,17,93,-0.4907110143113647,-165870.03178970213,4.371428571428571,16.0,290.0,8,7
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,19,90,-0.4810514080567094,-165911.07813258003,4.228571428571429,12.0,284.0,7,6
ges,parallelbns/res/networks/hepar2,hepar2.xbif_,0,5,-1,153,-0.48999314070261896,-172281.26815856007,6.514285714285714,0.0,456.0,0,2
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,23,90,-0.4808137360073369,-165867.685613243,4.114285714285714,8.0,280.0,9,8
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,29,95,-0.4776568353463538,-165856.91313653273,4.428571428571429,20.0,290.0,6,7
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,2,91,-0.475456789274778,-165809.09882178076,4.371428571428571,2.0,304.0,6,4
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,3,87,-0.4895081108392632,-165766.02264753793,4.114285714285714,2.0,286.0,7,7
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,5,93,-0.46290498497171717,-165831.74491417973,4.371428571428571,6.0,300.0,8,6
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,7,85,-0.4711224520562628,-165729.70756070496,4.0,0.0,280.0,7,7
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,11,86,-0.48081341531312183,-165734.4832542824,4.085714285714285,0.0,286.0,7,6
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,17,91,-0.4723770977467616,-165795.1224464335,4.228571428571429,4.0,292.0,9,6
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,13,84,-0.4798069589945591,-165796.27493368083,3.914285714285714,2.0,272.0,7,8
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,19,85,-0.4798696688577714,-165725.16813519597,4.0,2.0,278.0,7,6
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,23,87,-0.4792089254355204,-165771.53288790488,4.057142857142857,4.0,280.0,8,7
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,29,86,-0.4772673615461829,-165888.7908747192,3.8,2.0,264.0,8,6
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,2,92,-0.47596681660688284,-166094.02770873878,4.057142857142857,16.0,268.0,7,4
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,3,92,-0.42844399370122077,-165911.90138034304,4.285714285714286,10.0,290.0,7,4
hc,parallelbns/res/networks/hepar2,hepar2.xbif_,1,5,-1,90,-0.46837613358390096,-165760.99537522817,4.2,4.0,290.0,15,10
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,5,90,-0.47096865189817216,-165907.73215349967,4.142857142857143,18.0,272.0,8,4
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,7,91,-0.4850403035017305,-165818.85467964882,4.2,12.0,282.0,7,4
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,13,98,-0.48130532565582274,-165926.70375665018,4.457142857142857,22.0,290.0,6,3
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,11,91,-0.4823520840026668,-165901.82730161678,4.314285714285714,16.0,286.0,7,4
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,19,90,-0.4750147039854457,-165946.4372921611,4.285714285714286,14.0,286.0,6,3
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,17,90,-0.4946724166010982,-165932.49880036872,4.171428571428572,8.0,284.0,6,3
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,23,92,-0.4721420744275025,-165916.025362987,4.314285714285714,18.0,284.0,7,4
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,29,97,-0.4499330304345289,-166061.6915953734,4.542857142857143,28.0,290.0,7,4
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,2,92,-0.4858378393912113,-166101.82621848382,4.057142857142857,16.0,268.0,7,4
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,3,92,-0.42844399370122077,-165911.90138034304,4.285714285714286,10.0,290.0,7,5
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,7,91,-0.4850403035017305,-165818.85467964882,4.2,12.0,282.0,7,4
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,5,89,-0.468460989002054,-165858.3579427402,4.171428571428572,14.0,278.0,9,5
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,13,92,-0.4507289675694268,-165928.70240640113,4.2,18.0,276.0,8,4
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,11,88,-0.480095912825581,-165822.78655491478,4.171428571428572,8.0,284.0,10,6
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,17,90,-0.4946724166010982,-165932.49880036872,4.171428571428572,8.0,284.0,6,4
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,19,90,-0.4750147039854457,-165946.4372921611,4.285714285714286,14.0,286.0,6,4
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,29,99,-0.4621960670366427,-166057.25382218897,4.542857142857143,32.0,286.0,7,4
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,4,5,23,92,-0.4810661800582558,-165916.02536298698,4.314285714285714,18.0,284.0,7,5
ges,parallelbns/res/networks/hepar2,hepar2.xbif_,0,10,-1,148,-0.4835733870389919,-170081.13119567194,6.314285714285714,0.0,442.0,0,2
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,4,10,2,87,-0.4803623055685109,-165828.85553624752,4.085714285714285,2.0,284.0,6,8
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,4,10,3,88,-0.45430915084687157,-165789.7748667356,4.057142857142857,6.0,278.0,8,7
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,4,10,5,91,-0.4909001798704739,-165819.98890720852,4.314285714285714,8.0,294.0,6,7
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,4,10,11,89,-0.4753566240759214,-165753.523059186,4.228571428571429,2.0,294.0,4,5
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,4,10,7,87,-0.464795750023825,-165804.77304136695,4.142857142857143,8.0,282.0,7,8
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,4,10,13,98,-0.4861146631417782,-165947.91522439814,4.685714285714286,14.0,314.0,7,8
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,4,10,19,89,-0.42685910253540166,-165769.78426251054,4.228571428571429,6.0,290.0,5,7
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,4,10,17,88,-0.4908543146858134,-165746.44004537017,4.171428571428572,2.0,290.0,7,9
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,4,10,23,87,-0.48419457689356205,-165792.8396773528,4.0285714285714285,6.0,276.0,8,6
