algorithm,network,bbdd,threads,pges_threads,interleaving,seed,SHD,loglike,bdeu,deltaMM,deltaMM+,deltaMM-,iterations,time(s)
pges-jc,alarm,alarm.xbif50004_,8,8,10,-1,7,-0.42008957799217583,-53778.532213361286,14.0,0.0,14.0,5,1.07
pges-jc,alarm,alarm.xbif50004_,8,8,15,-1,7,-0.4140767528186578,-53778.53221336128,14.0,0.0,14.0,4,0.929
pges-jc,alarm,alarm.xbif50004_,8,8,5,-1,10,-0.42938004079640557,-53939.21128992181,24.0,8.0,16.0,6,0.963
pges-jc,alarm,alarm.xbif50005_,16,16,10,-1,10,-0.4268631727205671,-54639.78675323567,24.0,8.0,16.0,5,1.303
pges-jc,alarm,alarm.xbif50005_,16,16,15,-1,10,-0.4143380052184318,-54639.786753235676,24.0,8.0,16.0,4,1.172
pges-jc,alarm,alarm.xbif50005_,16,16,5,-1,18,-0.4320978396046152,-54935.07586023445,42.0,20.0,22.0,6,1.332
pges-jc,alarm,alarm.xbif50005_,2,2,10,-1,7,-0.42028780229444374,-54535.79315997996,14.0,0.0,14.0,6,1.991
pges-jc,alarm,alarm.xbif50005_,2,2,15,-1,7,-0.4258403585968386,-54519.91525648836,14.0,0.0,14.0,5,2.143
pges-jc,alarm,alarm.xbif50005_,2,2,5,-1,7,-0.42028780229444374,-54535.79315997996,14.0,0.0,14.0,8,2.215
pges-jc,alarm,alarm.xbif50005_,4,4,10,-1,7,-0.40864028572014716,-54530.43420852312,14.0,0.0,14.0,6,2.897
pges-jc,alarm,alarm.xbif50005_,4,4,15,-1,7,-0.40876421644344646,-54519.915256488355,14.0,0.0,14.0,5,5.661
pges-jc,alarm,alarm.xbif50005_,4,4,5,-1,7,-0.42801328668861083,-54530.05497908004,14.0,0.0,14.0,8,1.89
pges-jc,alarm,alarm.xbif50005_,8,8,10,-1,7,-0.4518519261166984,-54530.43420852312,14.0,0.0,14.0,8,1.38
pges-jc,alarm,alarm.xbif50005_,8,8,15,-1,10,-0.44808123655854015,-54639.78675323566,24.0,8.0,16.0,5,1.029
pges-jc,alarm,alarm.xbif50005_,8,8,5,-1,17,-0.4425587769510342,-54765.596148831275,38.0,20.0,18.0,8,1.244
pges-jc,alarm,alarm.xbif50006_,16,16,10,-1,12,-0.4382829239515819,-53926.24873090908,28.0,4.0,24.0,9,1.781
pges-jc,alarm,alarm.xbif50006_,16,16,15,-1,11,-0.41748139610460505,-53831.72868484717,22.0,4.0,18.0,6,1.377
pges-jc,alarm,alarm.xbif50006_,16,16,5,-1,12,-0.4425302957177416,-53938.004888155774,28.0,4.0,24.0,10,1.761
pges-jc,alarm,alarm.xbif50006_,2,2,10,-1,7,-0.4345845240648016,-53814.39811866603,14.0,0.0,14.0,7,2.444
pges-jc,alarm,alarm.xbif50006_,2,2,15,-1,7,-0.42585206684658833,-53861.80453876003,14.0,0.0,14.0,6,2.482
pges-jc,alarm,alarm.xbif50006_,2,2,5,-1,9,-0.4511020880675897,-53851.363761224406,22.0,4.0,18.0,11,2.784
pges-jc,alarm,alarm.xbif50006_,4,4,10,-1,7,-0.42901078086245137,-53812.96035194795,14.0,0.0,14.0,7,1.779
pges-jc,alarm,alarm.xbif50006_,4,4,15,-1,7,-0.42336149631522924,-53801.20419470125,14.0,0.0,14.0,5,1.796
pges-jc,alarm,alarm.xbif50006_,4,4,5,-1,8,-0.4321121894673629,-53861.54038729819,16.0,2.0,14.0,9,1.332
pges-jc,alarm,alarm.xbif50006_,8,8,10,-1,7,-0.4492538119830124,-53812.96035194795,14.0,0.0,14.0,7,1.207
