algorith, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
phc,res/networks/child,child.xbif50001_,6,5,23,5,-0.5913676729706138,-63273.71447531816,0.7,10.0,4.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,6,5,29,9,-0.6590497490717621,-64272.35322581584,1.3,20.0,6.0,4,0
pges,res/networks/child,child.xbif50001_,6,5,29,9,-0.6389213592590796,-63538.45633753922,1.3,16.0,10.0,5,0
phc,res/networks/child,child.xbif50001_,6,5,29,9,-0.6590497490717621,-64272.35322581584,1.3,20.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,8,5,2,4,-0.649162532636013,-63378.92049886286,0.4,2.0,6.0,4,0
pges,res/networks/child,child.xbif50001_,8,5,2,6,-0.5307546106809368,-63692.997736465055,0.7,4.0,10.0,4,0
phc,res/networks/child,child.xbif50001_,8,5,2,4,-0.649162532636013,-63378.92049886286,0.4,2.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,8,5,3,8,-0.6235314495857684,-63812.8902502449,1.2,16.0,8.0,3,0
pges,res/networks/child,child.xbif50001_,8,5,3,5,-0.6667604114875774,-63038.3160860487,0.6,4.0,8.0,5,0
phc,res/networks/child,child.xbif50001_,8,5,3,7,-0.622900040056924,-63554.00626208107,1.0,14.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,8,5,5,9,-0.6587698694458978,-64507.26310613526,1.1,14.0,8.0,4,0
pges,res/networks/child,child.xbif50001_,8,5,5,4,-0.6749427310293519,-62707.20657940078,0.4,0.0,8.0,5,0
phc,res/networks/child,child.xbif50001_,8,5,5,9,-0.6587698694458978,-64507.26310613526,1.1,14.0,8.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,8,5,7,7,-0.7633051740526261,-64169.90033836553,0.9,12.0,6.0,3,0
pges,res/networks/child,child.xbif50001_,8,5,7,9,-0.526313102133115,-64384.43354956212,1.2,14.0,10.0,4,0
phc,res/networks/child,child.xbif50001_,8,5,7,9,-0.623765664046503,-63702.953365909976,1.3,14.0,12.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,8,5,11,6,-0.6436796997175789,-64206.42633359364,0.9,12.0,6.0,4,0
pges,res/networks/child,child.xbif50001_,8,5,11,6,-0.6335359862421439,-63092.8865083366,0.8,8.0,8.0,4,0
phc,res/networks/child,child.xbif50001_,8,5,11,6,-0.6436796997175789,-64206.42633359364,0.9,12.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,8,5,13,4,-0.6523829447864096,-63378.92049886288,0.4,2.0,6.0,4,0
pges,res/networks/child,child.xbif50001_,8,5,13,10,-0.6059203311682032,-64311.566792248974,1.1,14.0,8.0,4,0
phc,res/networks/child,child.xbif50001_,8,5,13,5,-0.6291620084113744,-63736.86410854256,0.6,6.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,8,5,17,12,-0.6501306916742985,-64911.419778880176,1.6,22.0,10.0,3,0
pges,res/networks/child,child.xbif50001_,8,5,17,9,-0.6562223207153857,-64209.757773340556,1.2,16.0,8.0,4,0
phc,res/networks/child,child.xbif50001_,8,5,17,12,-0.6501306916742985,-64911.419778880176,1.6,22.0,10.0,3,0
pfhcbes,res/networks/child,child.xbif50001_,8,5,19,7,-0.6194796503352343,-64133.19404678469,0.9,10.0,8.0,5,0
pges,res/networks/child,child.xbif50001_,8,5,19,7,-0.5880014053343832,-63918.16485347171,0.8,6.0,10.0,5,0
phc,res/networks/child,child.xbif50001_,8,5,19,5,-0.6626381104298738,-63274.76012918939,0.6,6.0,6.0,3,0
pfhcbes,res/networks/child,child.xbif50001_,8,5,23,3,-0.6998905233688073,-63212.54565011157,0.3,0.0,6.0,3,0
pges,res/networks/child,child.xbif50001_,8,5,23,2,-0.6352338336500852,-62656.96605659265,0.2,0.0,4.0,5,0
phc,res/networks/child,child.xbif50001_,8,5,23,3,-0.6998905233688073,-63212.54565011157,0.3,0.0,6.0,3,0
pfhcbes,res/networks/child,child.xbif50001_,8,5,29,5,-0.6997982445200259,-64337.1300695473,0.5,4.0,6.0,4,0
pges,res/networks/child,child.xbif50001_,8,5,29,4,-0.6641974840158387,-62707.20657940078,0.4,0.0,8.0,4,0
phc,res/networks/child,child.xbif50001_,8,5,29,5,-0.684158225793173,-62693.86431407879,0.6,2.0,10.0,4,0
ges,res/networks/child,child.xbif50001_,0,10,-1,20,-0.6675338917749778,-67307.42507258913,2.1,0.0,42.0,0,0
hc,res/networks/child,child.xbif50001_,1,10,-1,8,-0.6172658082393148,-63665.80927051969,1.1,14.0,8.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,1,10,2,9,-0.5969095869309818,-63413.22849694797,1.3,20.0,6.0,4,0
pges,res/networks/child,child.xbif50001_,1,10,2,2,-0.6502329163715962,-62656.96605659265,0.2,0.0,4.0,6,0
phc,res/networks/child,child.xbif50001_,1,10,2,9,-0.5969095869309818,-63413.22849694797,1.3,20.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,1,10,3,5,-0.645327591442762,-62957.96471961333,0.6,6.0,6.0,4,0
pges,res/networks/child,child.xbif50001_,1,10,3,2,-0.6502329163715962,-62656.96605659265,0.2,0.0,4.0,6,0
phc,res/networks/child,child.xbif50001_,1,10,3,5,-0.645327591442762,-62957.96471961333,0.6,6.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,1,10,5,4,-0.7172902983665441,-63476.382364905614,0.5,4.0,6.0,4,0
pges,res/networks/child,child.xbif50001_,1,10,5,2,-0.6502329163715962,-62656.96605659265,0.2,0.0,4.0,6,0
phc,res/networks/child,child.xbif50001_,1,10,5,4,-0.7172902983665441,-63476.382364905614,0.5,4.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,1,10,7,6,-0.6336747810855935,-63328.28489760607,0.9,14.0,4.0,4,0
pges,res/networks/child,child.xbif50001_,1,10,7,2,-0.6502329163715962,-62656.96605659265,0.2,0.0,4.0,6,0
phc,res/networks/child,child.xbif50001_,1,10,7,6,-0.6336747810855935,-63328.28489760607,0.9,14.0,4.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,1,10,11,9,-0.5635722827816123,-63842.273080136976,1.3,18.0,8.0,4,0
pges,res/networks/child,child.xbif50001_,1,10,11,2,-0.6502329163715962,-62656.96605659265,0.2,0.0,4.0,6,0
phc,res/networks/child,child.xbif50001_,1,10,11,9,-0.5635722827816123,-63842.273080136976,1.3,18.0,8.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,1,10,13,7,-0.672005609520805,-63561.32596424752,0.9,10.0,8.0,4,0
pges,res/networks/child,child.xbif50001_,1,10,13,2,-0.6502329163715962,-62656.96605659265,0.2,0.0,4.0,6,0
phc,res/networks/child,child.xbif50001_,1,10,13,7,-0.672005609520805,-63561.32596424752,0.9,10.0,8.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,1,10,17,9,-0.6003020687177569,-63849.32234532488,1.2,16.0,8.0,4,0
