algorithm,network,bbdd,threads,pges_threads,interleaving,seed,SHD,loglike,bdeu,deltaMM,deltaMM+,deltaMM-,iterations,time(s)
fges,alarm,alarm.xbif50009_,8,0,0,-1,8,-0.28181102538665115,-54374.11719194645,16.0,2.0,14.0,1,0.784
fges,alarm,alarm.xbif50009_,8,-1,-1,2,8,-0.28181102538665115,-54374.11719194645,16.0,2.0,14.0,1,0.745
fges,alarm,alarm.xbif_,16,0,0,-1,10,-0.28190824997835057,-54074.96493375084,22.0,6.0,16.0,1,0.978
fges,alarm,alarm.xbif_,16,-1,-1,2,10,-0.28190824997835057,-54074.96493375084,22.0,6.0,16.0,1,0.996
fges,alarm,alarm.xbif_,1,0,0,-1,10,-0.28190824997835057,-54074.96493375084,22.0,6.0,16.0,1,1.102
fges,alarm,alarm.xbif_,1,-1,-1,2,10,-0.28190824997835057,-54074.96493375084,22.0,6.0,16.0,1,0.996
fges,alarm,alarm.xbif_,2,0,0,-1,10,-0.28190824997835057,-54074.96493375084,22.0,6.0,16.0,1,1.987
fges,alarm,alarm.xbif_,2,-1,-1,2,10,-0.28190824997835057,-54074.96493375084,22.0,6.0,16.0,1,1.02
fges,alarm,alarm.xbif_,4,0,0,-1,10,-0.28190824997835057,-54074.96493375084,22.0,6.0,16.0,1,1.301
fges,alarm,alarm.xbif_,4,-1,-1,2,10,-0.28190824997835057,-54074.96493375084,22.0,6.0,16.0,1,0.979
fges,alarm,alarm.xbif_,8,0,0,-1,10,-0.28190824997835057,-54074.96493375084,22.0,6.0,16.0,1,1.031
fges,alarm,alarm.xbif_,8,-1,-1,2,10,-0.28190824997835057,-54074.96493375084,22.0,6.0,16.0,1,1.04
fges-faithfulness,alarm,alarm.xbif50001246_,16,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.931
fges-faithfulness,alarm,alarm.xbif50001246_,16,-1,-1,2,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.985
fges-faithfulness,alarm,alarm.xbif50001246_,1,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,1.199
fges-faithfulness,alarm,alarm.xbif50001246_,1,-1,-1,2,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.942
fges-faithfulness,alarm,alarm.xbif50001246_,2,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,1.264
fges-faithfulness,alarm,alarm.xbif50001246_,2,-1,-1,2,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,1.729
fges-faithfulness,alarm,alarm.xbif50001246_,4,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,1.032
fges-faithfulness,alarm,alarm.xbif50001246_,4,-1,-1,2,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,1.097
fges-faithfulness,alarm,alarm.xbif50001246_,8,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,1.01
fges-faithfulness,alarm,alarm.xbif50001246_,8,-1,-1,2,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,1.099
fges-faithfulness,alarm,alarm.xbif50001_,16,0,0,-1,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,1.421
fges-faithfulness,alarm,alarm.xbif50001_,16,-1,-1,2,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,1.442
fges-faithfulness,alarm,alarm.xbif50001_,1,0,0,-1,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,1.709
fges-faithfulness,alarm,alarm.xbif50001_,1,-1,-1,2,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,1.977
fges-faithfulness,alarm,alarm.xbif50001_,2,0,0,-1,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,2.424
fges-faithfulness,alarm,alarm.xbif50001_,2,-1,-1,2,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,1.878
fges-faithfulness,alarm,alarm.xbif50001_,4,0,0,-1,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,1.725
fges-faithfulness,alarm,alarm.xbif50001_,4,-1,-1,2,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,2.333
fges-faithfulness,alarm,alarm.xbif50001_,8,0,0,-1,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,1.565
fges-faithfulness,alarm,alarm.xbif50001_,8,-1,-1,2,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,1.676
fges-faithfulness,alarm,alarm.xbif50002_,16,0,0,-1,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,1.422
fges-faithfulness,alarm,alarm.xbif50002_,16,-1,-1,2,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,1.404
fges-faithfulness,alarm,alarm.xbif50002_,1,0,0,-1,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,1.745
fges-faithfulness,alarm,alarm.xbif50002_,1,-1,-1,2,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,3.0
fges-faithfulness,alarm,alarm.xbif50002_,2,0,0,-1,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,2.695
fges-faithfulness,alarm,alarm.xbif50002_,2,-1,-1,2,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,2.044
fges-faithfulness,alarm,alarm.xbif50002_,4,0,0,-1,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,1.63
fges-faithfulness,alarm,alarm.xbif50002_,4,-1,-1,2,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,1.693
fges-faithfulness,alarm,alarm.xbif50002_,8,0,0,-1,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,1.632
fges-faithfulness,alarm,alarm.xbif50002_,8,-1,-1,2,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,1.567
fges-faithfulness,alarm,alarm.xbif50003_,16,0,0,-1,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,1.081
fges-faithfulness,alarm,alarm.xbif50003_,16,-1,-1,2,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,1.12
fges-faithfulness,alarm,alarm.xbif50003_,1,0,0,-1,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,1.258
fges-faithfulness,alarm,alarm.xbif50003_,1,-1,-1,2,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,1.111
fges-faithfulness,alarm,alarm.xbif50003_,2,0,0,-1,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,2.223
fges-faithfulness,alarm,alarm.xbif50003_,2,-1,-1,2,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,1.567
fges-faithfulness,alarm,alarm.xbif50003_,4,0,0,-1,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,1.225
fges-faithfulness,alarm,alarm.xbif50003_,4,-1,-1,2,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,1.25
fges-faithfulness,alarm,alarm.xbif50003_,8,0,0,-1,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,1.179
fges-faithfulness,alarm,alarm.xbif50003_,8,-1,-1,2,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,1.217
fges-faithfulness,alarm,alarm.xbif50004_,16,0,0,-1,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.816
fges-faithfulness,alarm,alarm.xbif50004_,16,-1,-1,2,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.844
fges-faithfulness,alarm,alarm.xbif50004_,1,0,0,-1,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.981
fges-faithfulness,alarm,alarm.xbif50004_,1,-1,-1,2,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.903
fges-faithfulness,alarm,alarm.xbif50004_,2,0,0,-1,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,2.141
fges-faithfulness,alarm,alarm.xbif50004_,2,-1,-1,2,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,1.325
fges-faithfulness,alarm,alarm.xbif50004_,4,0,0,-1,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,1.083
fges-faithfulness,alarm,alarm.xbif50004_,4,-1,-1,2,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.888
fges-faithfulness,alarm,alarm.xbif50004_,8,0,0,-1,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.85
fges-faithfulness,alarm,alarm.xbif50004_,8,-1,-1,2,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.884
fges-faithfulness,alarm,alarm.xbif50005_,16,0,0,-1,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,1.134
fges-faithfulness,alarm,alarm.xbif50005_,16,-1,-1,2,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,1.186
fges-faithfulness,alarm,alarm.xbif50005_,1,0,0,-1,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,1.257
fges-faithfulness,alarm,alarm.xbif50005_,1,-1,-1,2,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,1.127
fges-faithfulness,alarm,alarm.xbif50005_,2,0,0,-1,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,2.481
fges-faithfulness,alarm,alarm.xbif50005_,2,-1,-1,2,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,1.632
fges-faithfulness,alarm,alarm.xbif50005_,4,0,0,-1,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,1.745
fges-faithfulness,alarm,alarm.xbif50005_,4,-1,-1,2,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,1.443
fges-faithfulness,alarm,alarm.xbif50005_,8,0,0,-1,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,1.291
fges-faithfulness,alarm,alarm.xbif50005_,8,-1,-1,2,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,1.268
fges-faithfulness,alarm,alarm.xbif50006_,16,0,0,-1,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.279
fges-faithfulness,alarm,alarm.xbif50006_,16,-1,-1,2,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.209
fges-faithfulness,alarm,alarm.xbif50006_,1,0,0,-1,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.581
fges-faithfulness,alarm,alarm.xbif50006_,1,-1,-1,2,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.276
fges-faithfulness,alarm,alarm.xbif50006_,2,0,0,-1,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,2.392
fges-faithfulness,alarm,alarm.xbif50006_,2,-1,-1,2,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.854
fges-faithfulness,alarm,alarm.xbif50006_,4,0,0,-1,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.357
fges-faithfulness,alarm,alarm.xbif50006_,4,-1,-1,2,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.548
fges-faithfulness,alarm,alarm.xbif50006_,8,0,0,-1,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.403
fges-faithfulness,alarm,alarm.xbif50006_,8,-1,-1,2,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.434
fges-faithfulness,alarm,alarm.xbif50007_,16,0,0,-1,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,1.072
fges-faithfulness,alarm,alarm.xbif50007_,16,-1,-1,2,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,1.088
fges-faithfulness,alarm,alarm.xbif50007_,1,0,0,-1,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,1.244
fges-faithfulness,alarm,alarm.xbif50007_,1,-1,-1,2,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,1.302
fges-faithfulness,alarm,alarm.xbif50007_,2,0,0,-1,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,1.719
fges-faithfulness,alarm,alarm.xbif50007_,2,-1,-1,2,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,1.601
fges-faithfulness,alarm,alarm.xbif50007_,4,0,0,-1,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,1.266
fges-faithfulness,alarm,alarm.xbif50007_,4,-1,-1,2,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,1.23
fges-faithfulness,alarm,alarm.xbif50007_,8,0,0,-1,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,1.24
fges-faithfulness,alarm,alarm.xbif50007_,8,-1,-1,2,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,1.203
fges-faithfulness,alarm,alarm.xbif50008_,16,0,0,-1,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,0.933
fges-faithfulness,alarm,alarm.xbif50008_,16,-1,-1,2,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,0.924
fges-faithfulness,alarm,alarm.xbif50008_,1,0,0,-1,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,0.993
fges-faithfulness,alarm,alarm.xbif50008_,1,-1,-1,2,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,0.904
fges-faithfulness,alarm,alarm.xbif50008_,2,0,0,-1,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,2.162
fges-faithfulness,alarm,alarm.xbif50008_,2,-1,-1,2,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,1.763
fges-faithfulness,alarm,alarm.xbif50008_,4,0,0,-1,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,1.736
fges-faithfulness,alarm,alarm.xbif50008_,4,-1,-1,2,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,0.975
fges-faithfulness,alarm,alarm.xbif50008_,8,0,0,-1,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,1.073
