algorithm,network,bbdd,threads,pges_threads,interleaving,seed,SHD,loglike,bdeu,deltaMM,deltaMM+,deltaMM-,iterations,time(s)
pges-jc,alarm,alarm.xbif50004_,4,4,10,-1,17,-0.42597007766318196,-54090.94570896993,44.0,22.0,22.0,5,1.23
pges-jc,alarm,alarm.xbif50004_,4,4,15,-1,21,-0.3875646607096377,-54313.67364116441,48.0,28.0,20.0,5,1.451
pges-jc,alarm,alarm.xbif50004_,4,4,5,-1,10,-0.4300456526363154,-53939.21128992181,24.0,8.0,16.0,8,1.483
pges-jc,alarm,alarm.xbif50004_,8,8,10,-1,21,-0.4094155637638339,-54452.08391057234,50.0,28.0,22.0,7,1.215
pges-jc,alarm,alarm.xbif50004_,8,8,15,-1,18,-0.38904904738928764,-54266.781320219205,38.0,20.0,18.0,5,1.009
pges-jc,alarm,alarm.xbif50004_,8,8,5,-1,15,-0.43263919704161113,-54154.15425717323,40.0,18.0,22.0,6,0.968
pges-jc,alarm,alarm.xbif50005_,16,16,10,-1,18,-0.45935045647844636,-54699.48460255802,38.0,14.0,24.0,7,1.425
pges-jc,alarm,alarm.xbif50005_,16,16,15,-1,12,-0.4622503883911241,-54612.04456978731,26.0,6.0,20.0,5,1.192
pges-jc,alarm,alarm.xbif50005_,16,16,5,-1,12,-0.44156444887702645,-54627.92247327891,26.0,6.0,20.0,8,1.511
pges-jc,alarm,alarm.xbif50005_,2,2,10,-1,11,-0.4420185015204753,-54578.17220719026,22.0,4.0,18.0,9,2.47
pges-jc,alarm,alarm.xbif50005_,2,2,15,-1,10,-0.38336156064973503,-54645.74157045452,24.0,8.0,16.0,6,2.147
pges-jc,alarm,alarm.xbif50005_,2,2,5,-1,11,-0.4355814739929541,-54614.82861986847,24.0,6.0,18.0,8,2.231
pges-jc,alarm,alarm.xbif50005_,4,4,10,-1,18,-0.3891833244008883,-54782.02251130109,40.0,16.0,24.0,6,1.275
pges-jc,alarm,alarm.xbif50005_,4,4,15,-1,11,-0.3872617109146011,-54696.12957221929,26.0,10.0,16.0,6,2.136
pges-jc,alarm,alarm.xbif50005_,4,4,5,-1,11,-0.3990260128182085,-54663.951023956295,24.0,8.0,16.0,9,1.622
pges-jc,alarm,alarm.xbif50005_,8,8,10,-1,9,-0.3895365911163109,-54552.22948454991,22.0,4.0,18.0,7,1.295
pges-jc,alarm,alarm.xbif50005_,8,8,15,-1,7,-0.3750668615500038,-54556.305597311046,14.0,0.0,14.0,5,1.125
pges-jc,alarm,alarm.xbif50005_,8,8,5,-1,18,-0.4064231076459845,-54849.38344164241,40.0,20.0,20.0,8,1.18
pges-jc,alarm,alarm.xbif50006_,16,16,10,-1,10,-0.4266103709446192,-53914.39296415304,22.0,6.0,16.0,6,1.338
pges-jc,alarm,alarm.xbif50006_,16,16,15,-1,16,-0.450207999782874,-53943.579297090204,36.0,8.0,28.0,5,1.28
pges-jc,alarm,alarm.xbif50006_,16,16,5,-1,14,-0.3331332962733142,-54082.10778301355,34.0,14.0,20.0,7,1.419
pges-jc,alarm,alarm.xbif50006_,2,2,10,-1,8,-0.438351544509623,-53862.97815401627,16.0,2.0,14.0,7,2.449
pges-jc,alarm,alarm.xbif50006_,2,2,15,-1,10,-0.4277418653135338,-53911.94628126162,24.0,8.0,16.0,6,2.303
pges-jc,alarm,alarm.xbif50006_,2,2,5,-1,8,-0.4536608184783835,-53862.97815401627,16.0,2.0,14.0,11,2.73
pges-jc,alarm,alarm.xbif50006_,4,4,10,-1,14,-0.42217893510272886,-53941.03300468946,32.0,12.0,20.0,6,1.625
pges-jc,alarm,alarm.xbif50006_,4,4,15,-1,8,-0.3909065564953983,-53849.78423005149,16.0,2.0,14.0,7,1.778
pges-jc,alarm,alarm.xbif50006_,4,4,5,-1,16,-0.4307826924078025,-54190.30328071715,40.0,22.0,18.0,8,1.374
pges-jc,alarm,alarm.xbif50006_,8,8,10,-1,10,-0.4310575943964053,-53911.94628126162,24.0,8.0,16.0,6,1.068
pges-jc,alarm,alarm.xbif50006_,8,8,15,-1,8,-0.4143638578624488,-53849.78423005149,16.0,2.0,14.0,8,1.329
pges-jc,alarm,alarm.xbif50006_,8,8,5,-1,16,-0.442243800852587,-54165.35319950566,40.0,22.0,18.0,7,1.052
pges-jc,alarm,alarm.xbif50007_,16,16,10,-1,10,-0.44203609399110516,-53924.384886563486,22.0,6.0,16.0,5,1.143
pges-jc,alarm,alarm.xbif50007_,16,16,15,-1,7,-0.3862527558617825,-53649.90710812798,14.0,0.0,14.0,4,1.086
pges-jc,alarm,alarm.xbif50007_,16,16,5,-1,13,-0.43218111481427696,-53998.25580323965,32.0,14.0,18.0,6,1.285
pges-jc,alarm,alarm.xbif50007_,2,2,10,-1,10,-0.42812800034766046,-53777.63523651134,22.0,6.0,16.0,6,2.311
pges-jc,alarm,alarm.xbif50007_,2,2,15,-1,10,-0.4362307695127792,-53762.449525762284,22.0,6.0,16.0,5,2.072
pges-jc,alarm,alarm.xbif50007_,2,2,5,-1,10,-0.46737453010109514,-53777.63523651134,22.0,6.0,16.0,10,2.635
pges-jc,alarm,alarm.xbif50007_,4,4,10,-1,10,-0.4362307695127792,-53762.449525762284,22.0,6.0,16.0,5,1.652
pges-jc,alarm,alarm.xbif50007_,4,4,15,-1,10,-0.4084280868019432,-53762.449525762284,22.0,6.0,16.0,5,1.417
