algorithm,network,bbdd,threads,threadsPGES,interleaving,seed,SHD,LL Score,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s)
fges-faithfulness,alarm,alarm.xbif50009_,2,0,0,-1,8,0.0,-54374.11719194643,16.0,2.0,14.0,1,1.748
fges-faithfulness,alarm,alarm.xbif50009_,4,0,0,-1,8,0.0,-54374.11719194643,16.0,2.0,14.0,1,1.223
fges-faithfulness,alarm,alarm.xbif50009_,8,0,0,-1,8,0.0,-54374.11719194643,16.0,2.0,14.0,1,1.125
fges-faithfulness,alarm,alarm.xbif_,16,0,0,-1,10,-0.28190824997835057,-54074.96493375084,22.0,6.0,16.0,1,1.353
fges-faithfulness,alarm,alarm.xbif_,1,0,0,-1,10,0.0,-54074.964933750845,22.0,6.0,16.0,1,3.043
fges-faithfulness,alarm,alarm.xbif_,2,0,0,-1,10,0.0,-54074.964933750845,22.0,6.0,16.0,1,1.88
fges-faithfulness,alarm,alarm.xbif_,4,0,0,-1,10,0.0,-54074.964933750845,22.0,6.0,16.0,1,1.484
fges-faithfulness,alarm,alarm.xbif_,8,0,0,-1,10,0.0,-54074.964933750845,22.0,6.0,16.0,1,1.44
ges,alarm,alarm.xbif50001246_,16,0,0,-1,9,-0.41112899621862475,-55001.58530271746,18.0,2.0,16.0,1,0.964
ges,alarm,alarm.xbif50001246_,1,0,0,-1,9,-0.41112899621862475,-55001.58530271746,18.0,2.0,16.0,1,1.932
ges,alarm,alarm.xbif50001246_,2,0,0,-1,9,-0.41112899621862475,-55001.58530271746,18.0,2.0,16.0,1,0.948
ges,alarm,alarm.xbif50001246_,4,0,0,-1,9,-0.41112899621862475,-55001.58530271746,18.0,2.0,16.0,1,1.164
ges,alarm,alarm.xbif50001246_,8,0,0,-1,9,-0.41112899621862475,-55001.58530271746,18.0,2.0,16.0,1,1.106
ges,alarm,alarm.xbif50001_,16,0,0,-1,9,-0.4111505947122006,-54510.63970906635,18.0,2.0,16.0,1,1.305
ges,alarm,alarm.xbif50001_,1,0,0,-1,9,-0.4111505947122006,-54510.63970906635,18.0,2.0,16.0,1,3.215
ges,alarm,alarm.xbif50001_,2,0,0,-1,9,-0.4111505947122006,-54510.63970906635,18.0,2.0,16.0,1,1.285
ges,alarm,alarm.xbif50001_,4,0,0,-1,9,-0.4111505947122006,-54510.63970906635,18.0,2.0,16.0,1,0.991
ges,alarm,alarm.xbif50001_,8,0,0,-1,9,-0.4111505947122006,-54510.63970906635,18.0,2.0,16.0,1,0.969
ges,alarm,alarm.xbif50002_,16,0,0,-1,8,-0.41114798185840773,-53774.1179236058,16.0,2.0,14.0,1,1.057
ges,alarm,alarm.xbif50002_,1,0,0,-1,8,-0.41114798185840773,-53774.1179236058,16.0,2.0,14.0,1,2.098
ges,alarm,alarm.xbif50002_,2,0,0,-1,8,-0.41114798185840773,-53774.1179236058,16.0,2.0,14.0,1,1.116
ges,alarm,alarm.xbif50002_,4,0,0,-1,8,-0.41114798185840773,-53774.1179236058,16.0,2.0,14.0,1,0.945
ges,alarm,alarm.xbif50002_,8,0,0,-1,8,-0.41114798185840773,-53774.1179236058,16.0,2.0,14.0,1,0.926
ges,alarm,alarm.xbif50003_,16,0,0,-1,8,-0.40119923205301283,-53557.539162705456,16.0,2.0,14.0,1,1.09
ges,alarm,alarm.xbif50003_,1,0,0,-1,8,-0.40119923205301283,-53557.539162705456,16.0,2.0,14.0,1,2.918
ges,alarm,alarm.xbif50003_,2,0,0,-1,8,-0.40119923205301283,-53557.539162705456,16.0,2.0,14.0,1,1.03
ges,alarm,alarm.xbif50003_,4,0,0,-1,8,-0.40119923205301283,-53557.539162705456,16.0,2.0,14.0,1,0.867
ges,alarm,alarm.xbif50003_,8,0,0,-1,8,-0.40119923205301283,-53557.539162705456,16.0,2.0,14.0,1,0.837
ges,alarm,alarm.xbif50004_,16,0,0,-1,7,-0.41105595270971385,-53778.53221336128,14.0,0.0,14.0,1,1.083
ges,alarm,alarm.xbif50004_,1,0,0,-1,7,-0.41105595270971385,-53778.53221336128,14.0,0.0,14.0,1,2.483
ges,alarm,alarm.xbif50004_,2,0,0,-1,7,-0.41105595270971385,-53778.53221336128,14.0,0.0,14.0,1,0.913
ges,alarm,alarm.xbif50004_,4,0,0,-1,7,-0.41105595270971385,-53778.53221336128,14.0,0.0,14.0,1,0.887
ges,alarm,alarm.xbif50004_,8,0,0,-1,7,-0.41105595270971385,-53778.53221336128,14.0,0.0,14.0,1,0.839
ges,alarm,alarm.xbif50005_,16,0,0,-1,9,-0.4111505947122006,-55449.22311701622,18.0,2.0,16.0,1,1.111
ges,alarm,alarm.xbif50005_,1,0,0,-1,9,-0.4111505947122006,-55449.22311701622,18.0,2.0,16.0,1,2.639
ges,alarm,alarm.xbif50005_,2,0,0,-1,9,-0.4111505947122006,-55449.22311701622,18.0,2.0,16.0,1,1.114
ges,alarm,alarm.xbif50005_,4,0,0,-1,9,-0.4111505947122006,-55449.22311701622,18.0,2.0,16.0,1,1.079
