algorithm,network,bbdd,threads,threadsPGES,interleaving,seed,SHD,LL Score,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s)
ges,alarm,alarm.xbif50003_,1,0,0,-1,16,0.0,-56337.229138588074,36.0,4.0,32.0,1,1.319
ges,alarm,alarm.xbif50003_,2,0,0,-1,16,0.0,-56337.229138588074,36.0,4.0,32.0,1,3.464
ges,alarm,alarm.xbif50003_,4,0,0,-1,16,0.0,-56337.229138588074,36.0,4.0,32.0,1,3.13
ges,alarm,alarm.xbif50003_,8,0,0,-1,16,0.0,-56337.229138588074,36.0,4.0,32.0,1,1.285
ges,alarm,alarm.xbif50004_,16,0,0,-1,14,0.0,-56517.22992754563,32.0,2.0,30.0,1,1.38
ges,alarm,alarm.xbif50004_,1,0,0,-1,14,0.0,-56517.22992754563,32.0,2.0,30.0,1,1.278
ges,alarm,alarm.xbif50004_,2,0,0,-1,14,0.0,-56517.22992754563,32.0,2.0,30.0,1,3.574
ges,alarm,alarm.xbif50004_,4,0,0,-1,14,0.0,-56517.22992754563,32.0,2.0,30.0,1,1.097
ges,alarm,alarm.xbif50004_,8,0,0,-1,14,0.0,-56517.22992754563,32.0,2.0,30.0,1,0.91
ges,alarm,alarm.xbif50005_,16,0,0,-1,17,0.0,-57693.8991171601,40.0,8.0,32.0,1,1.041
ges,alarm,alarm.xbif50005_,1,0,0,-1,17,0.0,-57693.8991171601,40.0,8.0,32.0,1,1.189
ges,alarm,alarm.xbif50005_,2,0,0,-1,17,0.0,-57693.8991171601,40.0,8.0,32.0,1,3.511
ges,alarm,alarm.xbif50005_,4,0,0,-1,17,0.0,-57693.8991171601,40.0,8.0,32.0,1,2.221
ges,alarm,alarm.xbif50005_,8,0,0,-1,17,0.0,-57693.8991171601,40.0,8.0,32.0,1,1.093
ges,alarm,alarm.xbif50006_,16,0,0,-1,15,0.0,-56655.36118470025,36.0,6.0,30.0,1,0.912
ges,alarm,alarm.xbif50006_,1,0,0,-1,15,0.0,-56655.36118470025,36.0,6.0,30.0,1,3.419
ges,alarm,alarm.xbif50006_,2,0,0,-1,15,0.0,-56655.36118470025,36.0,6.0,30.0,1,1.39
ges,alarm,alarm.xbif50006_,4,0,0,-1,15,0.0,-56655.36118470025,36.0,6.0,30.0,1,2.056
ges,alarm,alarm.xbif50006_,8,0,0,-1,15,0.0,-56655.36118470025,36.0,6.0,30.0,1,0.765
ges,alarm,alarm.xbif50007_,16,0,0,-1,14,0.0,-56409.348113413806,32.0,4.0,28.0,1,1.055
ges,alarm,alarm.xbif50007_,1,0,0,-1,14,0.0,-56409.348113413806,32.0,4.0,28.0,1,2.032
ges,alarm,alarm.xbif50007_,2,0,0,-1,14,0.0,-56409.348113413806,32.0,4.0,28.0,1,1.555
ges,alarm,alarm.xbif50007_,4,0,0,-1,14,0.0,-56409.348113413806,32.0,4.0,28.0,1,2.236
ges,alarm,alarm.xbif50007_,8,0,0,-1,14,0.0,-56409.348113413806,32.0,4.0,28.0,1,1.236
ges,alarm,alarm.xbif50008_,16,0,0,-1,14,0.0,-56989.8079265419,34.0,6.0,28.0,1,0.841
ges,alarm,alarm.xbif50008_,1,0,0,-1,14,0.0,-56989.8079265419,34.0,6.0,28.0,1,1.132
ges,alarm,alarm.xbif50008_,2,0,0,-1,14,0.0,-56989.8079265419,34.0,6.0,28.0,1,2.121
ges,alarm,alarm.xbif50008_,4,0,0,-1,14,0.0,-56989.8079265419,34.0,6.0,28.0,1,3.47
ges,alarm,alarm.xbif50008_,8,0,0,-1,14,0.0,-56989.8079265419,34.0,6.0,28.0,1,0.935
ges,alarm,alarm.xbif50009_,16,0,0,-1,15,0.0,-57108.74470833216,36.0,6.0,30.0,1,1.101
ges,alarm,alarm.xbif50009_,1,0,0,-1,15,0.0,-57108.74470833216,36.0,6.0,30.0,1,3.365
ges,alarm,alarm.xbif50009_,2,0,0,-1,15,0.0,-57108.74470833216,36.0,6.0,30.0,1,2.279
ges,alarm,alarm.xbif50009_,4,0,0,-1,15,0.0,-57108.74470833216,36.0,6.0,30.0,1,2.545
ges,alarm,alarm.xbif50009_,8,0,0,-1,15,0.0,-57108.74470833216,36.0,6.0,30.0,1,0.842
ges,alarm,alarm.xbif_,16,0,0,-1,15,0.0,-56726.617978023176,36.0,6.0,30.0,1,1.17
ges,alarm,alarm.xbif_,1,0,0,-1,15,0.0,-56726.617978023176,36.0,6.0,30.0,1,1.222
ges,alarm,alarm.xbif_,2,0,0,-1,15,0.0,-56726.617978023176,36.0,6.0,30.0,1,2.448
ges,alarm,alarm.xbif_,4,0,0,-1,15,0.0,-56726.617978023176,36.0,6.0,30.0,1,2.506
ges,alarm,alarm.xbif_,8,0,0,-1,15,0.0,-56726.617978023176,36.0,6.0,30.0,1,1.021
pges,alarm,alarm.xbif50001246_,16,16,100,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.549
pges,alarm,alarm.xbif50001246_,16,16,10,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,1.539
pges,alarm,alarm.xbif50001246_,16,16,15,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,1.18
pges,alarm,alarm.xbif50001246_,16,16,20,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.305
pges,alarm,alarm.xbif50001246_,16,16,30,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.294
pges,alarm,alarm.xbif50001246_,16,16,50,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.288
pges,alarm,alarm.xbif50001246_,16,16,5,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,6,1.256
pges,alarm,alarm.xbif50001246_,16,2,100,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.201
pges,alarm,alarm.xbif50001246_,16,2,10,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,5,1.04
pges,alarm,alarm.xbif50001246_,16,2,15,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,1.226
pges,alarm,alarm.xbif50001246_,16,2,20,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,1.05
pges,alarm,alarm.xbif50001246_,16,2,30,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.24
pges,alarm,alarm.xbif50001246_,16,2,50,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.259
pges,alarm,alarm.xbif50001246_,16,2,5,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,7,1.147
pges,alarm,alarm.xbif50001246_,16,4,100,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.092
pges,alarm,alarm.xbif50001246_,16,4,10,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.129
pges,alarm,alarm.xbif50001246_,16,4,15,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,1.069
